Story Heading,Story Excerpt,Section,Date,Source
Asif’s second world title capped a year of reasonable success for Pakistan snooker,Pakistan snooker witnessed two contrasting scenarios in a span of almost one year — from Dec 2018 to Nov 2019.,Newspaper,1-1-2020,all
Sensational Babar Azam reflects on 2019,The year lifted him to a new level in Test cricket says Azam.,Newspaper,1-1-2020,all
Misbah fails to mention high-achieving Abid in  year-ending statement,"""Overall we are on the right track. The more we play the longer format the more we will improve"" says Misbah.",Newspaper,1-1-2020,all
Cautious England to back four-day Test proposal,Four-day matches were given the green light by the ICC in 2017.,Newspaper,1-1-2020,all
Karachi witnessed decrease in terrorism incidents in 2019,Among prominent incidents in the outgoing year are an attack on Mufti Taqi Usmani and kidnapping of girls in DHA.,Pakistan,1-1-2020,all
Building collapse probe to identify negligent SBCA officials begins,The order to hold the inquiry came from the Local Government Minister Syed Nasir Hussain Shah.,Pakistan,1-1-2020,all
Ringing in the New Year at Seaview,Earlier Sindh Chief Minister Syed Murad Ali Shah lifted the ban on pillion riding in Karachi.,Pakistan,1-1-2020,all
A tough year for Pakistan Railways: 2019 marred by over 100 accidents,Officials say a politically motivated and cosmetic approach main reasons behind surge in derailments and accidents.,Pakistan,1-1-2020,all
Irrigation dept claims credit for executing key projects in 2019,Official says provincial irrigation dept also conducted a major campaign against water theft.,Pakistan,1-1-2020,all
Punjab Assembly resolution seeks most stringent anti-blasphemy laws,Resolution asks govt to set up a central screening system to intercept blasphemous material on social media.,Pakistan,1-1-2020,all
Quota for tribal dists Balochistan students increased in medical colleges,Four seats in each of 59 medical and dental colleges have been added to the special quota Senate body told.,Pakistan,1-1-2020,all
Crime App alert button to help complainants in police stations in Rawalpindi,RPO says initiative aimed to ensure citizens approach police to lodge any complaint without fear.,Pakistan,1-1-2020,all
77513 kanals Benami properties detected in Pindi division,The cases have been referred to FBR for further investigations in light of the Benami Act 2017.,Pakistan,1-1-2020,all
Two houses of parliament convened on 24-hour notice,Govt says decision made to take legislature into confidence over recent developments.,Newspaper,1-1-2020,all
3 Chinese nationals acquitted in ATM-skimming case due to lack of evidence,They had been charged with committing electronic crimes cyber terrorism fraud and forgery in 2018 in Karachi.,Pakistan,3-1-2020,all
NAB prosecutor in two references against Zardari resigns citing personal reasons,Special Prosecutor Mudassir Naqvi was representing NAB in Park Lane and money laundering references.,Pakistan,2-1-2020,all
Decision to amend NAB law made in the interest of the country: PM Imran,"""Our real aim is wealth creation so the country which is buried under the burden of loans [can be freed].""",Pakistan,2-1-2020,all
3 killed several feared trapped as multi-storey building collapses in Sukkur,Officials say several people are still feared to be trapped under the rubble; rescue operation underway.,Pakistan,2-1-2020,all
Stocks continue to soar for second consecutive day as mutual funds banks spring into action,Analysts say strong expectation of falling interest this year encouraged bank treasuries mutual funds.,Business,2-1-2020,all
Do you think PM Imran Khan could make it in Bollywood? Dev Anand did,Anand apparently turned up at IK's flat in London trying to convince him to act in his directorial Awwal Number.,Pakistan,3-1-2020,all
Ainy Jaffri and husband announce they've had a baby boy,She revealed that their son Aydin was born in August 2019.,Pakistan,2-1-2020,all
Pakistan rejects new Indian army chief’s ‘irresponsible statement on pre-emptive strikes across LoC’,"Foreign Office says there should be no doubt about Pakistan's ""resolve and readiness"" to thwart Indian aggression.",Pakistan,3-1-2020,all
You're Goana wanna try this delicious fish curry recipe,Savoury fish swirling in an aromatic red curry will whet your appetite and warm your heart this winter.,Pakistan,2-1-2020,all
Twitter reacts to Lahore braving its coldest winter in decades,@weather: we're humans not penguins.,Pakistan,2-1-2020,all
Arsenal blow away Man Utd to hand Arteta first win,"""I am very pleased with the performance I'm even more pleased with the result"" says Arteta.",Sport,2-1-2020,all
First-ever teacher appointed head of KP's Local Governance School,The school has previously been led by senior officials of the LG dept with expertise in the local body system.,Pakistan,2-1-2020,all
Editorial: Pakistan is making steady progress out of the grip of militancy,After nearly two decades of gut-wrenching violence that claimed thousands of lives Pakistan has turned a corner.,Pakistan,2-1-2020,all
2019 is likely to go down in history as a wasted year in terms of democratic development,The govt failed to address the challenges of running a democratic dispensation by diluting  principles and practices.,Pakistan,2-1-2020,all
2020: The year of political and economic stability,Economic matters cannot run on autopilot nor can they be delegated to one or two men.,Pakistan,2-1-2020,all
Security forces release eight Khyber tribesmen after talks with jirga,One of the arrested tribesmen died under mysterious in custody on Dec 22.,Pakistan,2-1-2020,all
Over 50000 raids conducted against spurious substandard drugs last year,The move was aimed at getting WHO’s listed authorities permission to export medicines.,Pakistan,2-1-2020,all
Govt charges PPP over Rs400000 for ‘damages’ in Liaquat Bagh,This is the first time any political party has had to pay the Parks and Horticulture Authority for damages.,Pakistan,2-1-2020,all
60pc of water being supplied to Hyderabad is unchlorinated,Water supply unable to go through the chlorination process at filtration plants due to Wasa's financial crisis.,Pakistan,2-1-2020,all
Body set up to probe building collapse,Committee will probe whether the building was constructed as per the approved design.,Pakistan,2-1-2020,all
16 govt bills 40 resolutions passed by Sindh Assembly in 2019,PA has been in session for 199 days out of 506 since Aug 2018 putting it ahead of legislatures in other provinces.,Pakistan,2-1-2020,all
12 hurt in New Year jubilation firing 15 suspects held,Police say that the number of victims this year is less than previous years.,Pakistan,2-1-2020,all
Schools reopen in Sindh despite harsh weather,Various school associations had approached the education secretary seeking an extension in the winter holidays.,Pakistan,6-1-2020,all
Rana Sanaullah demands judicial probe into drug case,Says PTI government has nothing to give the country except politics of victimisation.,Pakistan,2-1-2020,all
Punjab govt to work with experts to fight natural calamities,It has also decided to adopt a strategy of risk assessment before any disaster.,Pakistan,2-1-2020,all
Erdogan Istanbul mayor lock horns over ‘crazy canal’,"""Canal Istanbul is a criminal project"" says Ekrem Imamoglu.",Newspaper,2-1-2020,all
Syrian govt missiles kill eight in Idlib shelter,Syria’s civil war has killed more than 370000 people since it started in 2011.,Newspaper,2-1-2020,all
Pope sorry for slapping woman,"""We lose patience many times"" he confesses.",Newspaper,2-1-2020,all
Pro-Iran protesters leave US embassy in Baghdad,President Donald Trump and other US officials have blamed Iran for attacks on US forces and the embassy.,Newspaper,2-1-2020,all
Flames from sky lanterns kill 30 monkeys in Germany,Only two chimpanzees could be rescued from the flames by firefighters.,Newspaper,2-1-2020,all
12 dead several missing as Australia counts cost of devastating bushfires,Bushfires have destroyed more than 4 million hectares (10 million acres).,Newspaper,2-1-2020,all
Taliban attacks leave 26 security personnel dead,The Taliban have intensified their attacks in northern Afghanistan in recent days.,Newspaper,2-1-2020,all
Nine die as floods swamp Indonesian capital,Indonesia’s National Disaster Mitigation Agency calls on residents to leave flood-hit areas.,Newspaper,2-1-2020,all
‘Nasim released from junior side after discussions with Misbah Waqar’,The main purpose of a strong national junior squad is to provide good talent to the senior team says Ijaz Ahmed.,Newspaper,2-1-2020,all
Brighton spoil Chelsea’s New Year party as Villa secure vital win,Chelsea boss expresses concern about the lack of consistency from his side.,Newspaper,2-1-2020,all
No question over Paine’s captaincy insists Langer,Paine 35 scored his seventh Test half-century in the second Test against New Zealand in Melbourne.,Newspaper,2-1-2020,all
Lyon shoots down four-day Test concept,The cash-rich Indian cricket board (BCCI) are yet to declare their stance on the matter.,Newspaper,2-1-2020,all
Racial quotas row clouds South Africa selections,South Africa’s previously all-white cricket team has changed dramatically over the last three decades.,Newspaper,2-1-2020,all
IPO regime made simpler more efficient,Amendments to IPO Regulations 2017 have been made with the objective to promote capital formation.,Newspaper,2-1-2020,all
CDWP approves Rs13bn development projects,Projects approved with the aim to improve livelihoods transport and communications and water management.,Pakistan,2-1-2020,all
Profit outflow rises to $600m,Data also shows that profits on portfolio investment significantly decreased during this period.,Newspaper,2-1-2020,all
Inflation clocks in at 12.63pc in December,Data shows that higher food prices have been the largest driver in overall inflation over the previous month.,Newspaper,2-1-2020,all
Pakistan Iran vow effective measures to curb terrorism along border,Facilities for traders common people living near border promised.,Pakistan,2-1-2020,all
IHC extends Akram Durrani’s bail till 15th,Sharjeel Inam’s pre-arrest bail extended till 7th.,Pakistan,2-1-2020,all
NAB recovered Rs150bn last year: chairman,Investigators prosecutors told to probe white-collar crime cases on scientific basis.,Pakistan,2-1-2020,all
India has installed lethal weapons at LoC: Masood,AJK President Sardar Masood Khan says these reveal the highly aggressive designs of the Modi govt against Pakistan.,Pakistan,2-1-2020,all
PM vows to turn dream of welfare state into reality,Says government considering issuing ration cards to poor families.,Pakistan,2-1-2020,all
Pakistan India share details of prisoners N-facilities,366 Pakistanis are languishing in Indian jails while 282 Indians are in the custody of Pakistani authorities.,Pakistan,2-1-2020,all
Tax laws changed to punish currency smugglers benefit traders,Ordinance was notified on Dec 28 but released to media on Jan 1.,Newspaper,2-1-2020,all
PM’s aide directs FBR to raise revenue collection,Says each dollar not earned by the revenue authority will have to be borrowed.,Newspaper,2-1-2020,all
Cabinet rushes out draft bill on COAS extension,Decides to table bill in parliament tomorrow after consulting the opposition on the matter.,Newspaper,2-1-2020,all
Protesters surround Gurdwara Nankana Sahib disperse after negotiations,The hours-long protest was against the arrest of suspects in an alleged forced conversion case.,Pakistan,4-1-2020,all
Bajwa emphasises 'need for maximum restraint' in call with Pompeo following Soleimani's killing,"FO expresses ""deep concern"" over tensions resulting from the killing of top Iranian commander in a US strike.",Pakistan,4-1-2020,all
Sukkur building collapse: 3-year-old girl rescued alive after 21 hours from underneath debris,Death toll rises to 6; five others also pulled out from the rubble in a wounded state.,Pakistan,3-1-2020,all
Mahira Khan started the new year by answering questions from her fans,New year same tradition new answers!,Pakistan,3-1-2020,all
Jibran Nasir makes excellent biryani according to Mansha Pasha,She also shared that life after engagement is going well.,Pakistan,3-1-2020,all
Is secular India finally saying 'enough is enough'?,The anger of a new generation against divisive politics of a leader is not an ordinary protest — it’s a revolt.,Prism,8-2-2020,all
Yasir Nawaz is stepping into the food business with a new restaurant in Karachi,Images spoke to Yasir to get some more details.,Pakistan,3-1-2020,all
Special Economic Zones will enable Chinese industries to relocate to Pakistan: PM Imran,Premier performs groundbreaking of Allama Iqbal Industrial City in Faisalabad; inaugurates city's first shelter home.,Pakistan,3-1-2020,all
I'm honoured if Coldplay copied my music video says Pakistani musician Abdullah Qureshi,Speculations arose that the band's video for 'Daddy' is a little too similar to Qureshi's video for 'Laapata',Pakistan,3-1-2020,all
ToTok co-creator denies app is a spying tool for UAE,Says he had no knowledge that people and companies linked to the project had ties to the country's intelligence.,Tech,3-1-2020,all
Oil prices surge markets mixed after US kills top Iran general,"""A big fat dollop of geopolitical uncertainty has landed on investors' desks"" says Oanda analyst.",Business,3-1-2020,all
It is 2020 and the government has a new resolution: the provision of ‘Roti Kapra Makan and Internet’,There is concern of overlapping functions in leading the country towards digitalisation.,Pakistan,3-1-2020,all
Standing committee on defence approves bills concerning services chiefs' tenure,Bills approved by the committee unanimously; will be presented for approval in the next National Assembly session.,Pakistan,3-1-2020,all
Fatima Bhutto’s new book shows how the East has started to take its narrative in its own hands,Bollywood Turkish soap operas and K-pop are giving Hollywood a run for its money.,Pakistan,3-1-2020,all
You can now go ice fishing on your next trip to Malam Jabba,There's also an international snowboarding championship being organised there!,Pakistan,3-1-2020,all
KP's Saddar Bazaar — the last of the old,The demolition of Capitol cinema will be the climax in a series of events that has seen the effacement of the old.,Pakistan,3-1-2020,all
If NAB was truly a body dedicated to eradicating white-collar crime its structure would have reflected this,NAB adopted an approach of riding roughshod over the law.,Pakistan,3-1-2020,all
The Buzdar project must have some success,The 2020 huddle of the big three in Punjab is meant to serve as a symbol of unity.,Pakistan,3-1-2020,all
KP lawmakers rail at police’s night search operations,Minister assures PA of an inquiry says accountability of the of police force is necessary.,Pakistan,3-1-2020,all
Ice fishing attracts tourists to Malam Jabba,Tourists say the experience is something new and unique.,Pakistan,3-1-2020,all
Drug trafficking consumption termed a national security threat,Senator Nuzhat Sadiq suggests involving individuals who have fought addiction as role models.,Pakistan,3-1-2020,all
CCP launches probe into 62 housing schemes,Probe initiated after the LDA launched ads about deceptive marketing by housing schemes in Lahore and surrounding areas.,Pakistan,3-1-2020,all
Four die in leather warehouse blaze in Lahore,Witnesses said the injured were in the upper portion of the building and were trapped due to the toxic smoke and flames.,Pakistan,3-1-2020,all
Transport strike in Punjab ends after govt puts on hold increase in toll fines,Protest left citizens across the province stranded at bus stops forcing them to search for other means of transport.,Pakistan,3-1-2020,all
MQM-P to decide on Bilawal’s offer in people’s interest: mayor,Says PPP has to remove MQM-P's apprehensions first.,Pakistan,3-1-2020,all
Prices of consumer goods soared unusually high in 2019,The most alarming jump was seen in varieties of flour which went up by Rs15-18 per kg from April 2019 onwards.,Pakistan,3-1-2020,all
Sindh CM-governor meeting seen as positive sign for city’s development projects,Murad pledges to complete his part of the job on Centre-funded projects.,Pakistan,3-1-2020,all
Teenager from Shikarpur dies of rabies  at JPMC,Officials said the total number of dog-bite cases across Sindh last year was more than 130000.,Pakistan,3-1-2020,all
Austrian coalition agrees upon headscarf ban preventive custody,"Conservative leader Sebastian Kurz describes move as part of his stance on illegal immigration and “political Islam"".",Newspaper,3-1-2020,all
Computer programme beats human breast cancer diagnosis,Researchers have trained an artificial intelligence model to detect cancer in breast scans from thousands of women.,Newspaper,3-1-2020,all
Evacuation of fire-ravaged towns ordered in Australia,The number of homes confirmed destroyed in recent days has topped 400 with that figure expected to rise .,Newspaper,3-1-2020,all
Turkish MPs vote to send troops to Libya,Turkey has used its alliance with the Tripoli government to advance other interests.,Newspaper,3-1-2020,all
NZ sweat on Williamson Nicholls as Aussies play guessing game,New Zealand were beaten heavily in the first two Tests of the three-match series.,Newspaper,3-1-2020,all
Bangladesh head coach willing to tour Pakistan,Bangladesh are scheduled to tour Pakistan for three Twenty20 Internationals and two Tests later this month.,Newspaper,3-1-2020,all
Du Plessis warns SA against complacency ahead of second Test,"""We haven’t really achieved anything as a test team; we’ve just won one test match"" says Du Plessis.",Newspaper,3-1-2020,all
‘PFF audit imperative to pave way for funding from FIFA and AFC’,"""We don’t have a magic wand that we can just come in and hold the election"" says Humza Khan.",Newspaper,3-1-2020,all
Denmark sources record 47pc of power from wind,Across the European Union wind accounted for 14pc of consumption last year says industry group WindEurope.,Newspaper,3-1-2020,all
LNG supplies increase,LNG cargoes have also witnessed an increase of 14pc in 2019 compared to 108 cargoes in 2018.,Newspaper,3-1-2020,all
Abu Dhabi announces $200m for SMEs,"""This support is testimony to the expanding economic relations and friendship between our countries"" says Sheikh.",Newspaper,3-1-2020,all
Govt to give Rs204bn Sukkur-Hyderabad Motorway to private sector on BOT basis,The Sukkur-Hyderabad Motorway M6 is estimated to cost Rs204.28bn and take 33 months to complete.,Newspaper,3-1-2020,all
IHC moved against FIA official in judge video scam,FIA Director General Wajid Zia and Assistant Director Ijaz Ahmed Sheikh asked to appear in court next week.,Pakistan,3-1-2020,all
30 fishing boats destroyed by sea current in Gwadar,Fishermen say the losses were incurred due to the snail-paced construction of water breakers and channels.,Pakistan,3-1-2020,all
Lawyer being probed for Secret Act  ‘violations’ court told,Defence ministry informs court that Inamur Rahim is in the custody of its subordinate agency.,Pakistan,3-1-2020,all
Govt’s inaction over locust attack in Sindh decried,There is a possibility of a wheat shortage if the issue is not taken seriously says PPP's Syed Naveed Qamar.,Pakistan,3-1-2020,all
Global bodies allies alerted about threats from India: FO,"""Pakistan's diplomatic efforts have exposed the Indian govt's agenda for promoting Hindu nationalism.""",Newspaper,3-1-2020,all
495 lawmakers fail to submit statements of assets with ECP,Defaulting NA members include Asif Ali Zardari Bilawal Bhutto-Zardari and Raja Pervez Ashraf.,Pakistan,3-1-2020,all
Senators engage in heated debate over Musharraf conviction,"""The case against Gen Musharraf is political in nature. He is in no way guilty of treason"" says MQM lawmaker",Pakistan,3-1-2020,all
Floods in Jakarta recede as death toll tops 30,Authorities take advantage of receding waters to clear away mud and remove piles of wet garbage from the streets.,Newspaper,3-1-2020,all
Govt may accept Etisalat offer to settle dues row,The UAE telecom firm is offering $275m against $800m proceeds of the sale of PTCL outstanding for more than 13 years.,Newspaper,3-1-2020,all
Rare political accord on changes to Army Act,The PML-N extends unconditional support while the PPP cautions the govt against haste in the matter.,Newspaper,3-1-2020,all
Polio tally for 2019 rises to 123 cases,Five new cases reported in Khyber Pakhtunkhwa while one reported in Sindh.,Pakistan,3-1-2020,all
Iranian cyberattacks feared after killing of top general: security experts,"""Iranian hackers have been very aggressive in trying to get access to utilities factories and oil and gas facilities.""",Tech,4-1-2020,all
Effective police performance can change the country's fate says PM Imran,Imran Khan inaugurates Model Police Station in Mianwali says he hopes to see Punjab police transform like KP police.,Pakistan,4-1-2020,all
Karachi mayor apologises to family of boy his son assaulted,"Victim's father says they have ""accepted"" the apology and will withdraw FIR against mayor's son.",Pakistan,4-1-2020,all
Hania Amir teases Fahad Mustafa with her New Year's resolution involving TikTok,We wonder what creative videos she'll come up with.,Pakistan,4-1-2020,all
Attempts to paint Nankana Sahib altercation as a communal issue patently motivated: FO,"FO says insinuations about desecration of the Gurdwara during the incident ""are not only false but also mischievous"".",Pakistan,4-1-2020,all
Sanaullah demands video evidence against him be presented in court,PML-N leader insists govt mislead masses on the issue by claiming it had footage of his involvement in drug business,Pakistan,4-1-2020,all
Ahsan Khan and Ayesha Omar resume shooting Rehbara after 2 year hiatus,"The movie which was originally supposed to come out in 2017 has been described as a ""love story with a twist"".",Pakistan,4-1-2020,all
CEO Tim Cook sees pay ebb along with Apple performance,Cook's incentive bonus which is tied to Apple's performance tallied about $7.7 million compared to $12 million in 2018,Business,4-1-2020,all
Here's how you can make your own Black Forest cake and eat it too,A German import that came to the subcontinent evolved into a Pakistani mainstay and we have the perfect recipe for it.,Pakistan,4-1-2020,all
Centrally-contracted players to face pay cut for below-par fitness warns PCB,All the available centrally-contracted players will attend the tests which are aligned with their contracts.,Sport,4-1-2020,all
Biggest bloom: ‘world’s largest’ flower spotted in Indonesia,The giant Rafflesia tuan-mudae comes in at a whopping 111 centimetres (3.6 foot) in diameter.,Newspaper,4-1-2020,all
Downing Street seeks CVs of ‘weirdos and misfits’ for Johnson team,Cummings outlines what he said was the need to diversify the skills and backgrounds of policy makers and advisers.,Newspaper,4-1-2020,all
Court hears arguments in Trump’s bid to block impeachment testimony,The administration has directed current and former officials not to comply with congressional subpoenas.,Newspaper,4-1-2020,all
China seeks to identify cause of mystery pneumonia,The WHO says it is aware of the reports is monitoring the situation and is in contact with Beijing.,Newspaper,4-1-2020,all
One killed in Paris stabbing assailant shot dead,The Paris police say the man had attacked  “several people” around lunchtime in the park in the suburb of Villejuif.,Newspaper,4-2-2020,all
Turkish operator says Ghosn used its jets illegally to escape Japan,It says one employee had admitted to falsifying the records to keep Ghosn’s name off the flight manifest.,Newspaper,4-1-2020,all
India will face isolation warns former foreign secretary,"“Cumulative effect of a series of actions including what happened in Kashmir. We seem to know we are isolated.""",Newspaper,4-1-2020,all
Gen Soleimani: an icon of Iran’s proxy forces,For the US and Israel he was a shadowy figure in command of Iran’s proxy forces,Newspaper,4-1-2020,all
US oil workers start leaving Iraq after air strike,The US embassy in Baghdad has urged all its citizens to leave Iraq immediately.,Newspaper,4-1-2020,all
‘Lebanon needs $25bn bailout’,Lebanon’s crisis has shattered confidence in its banking system and raised investors’ concerns that a default looms.,Newspaper,4-1-2020,all
Millat extends plant shutdown for another 17 days,Tractor sales are falling as growers face poor crop production.,Newspaper,4-1-2020,all
Russia stops oil supplies to Belarus,The ex-Soviet neighbours have a long history of energy disputes and complicated bilateral ties.,Newspaper,4-1-2020,all
KE tariff hike should be gradual say senators,The issue comes up for discussion at the meeting of the Senate Standing Committee on Power.,Pakistan,4-1-2020,all
Book review: The Amazing Book of Star Wars,There are two kinds of people in this world those who know about Star Wars and those who don’t. For the ones who...,Newspaper,4-1-2020,all
Art Corner,Published in Dawn Young World January 4th 2020,Newspaper,4-1-2020,all
Website review: Diving into space,Our universe is so vast that we can’t even guess its size. It is full of mesmerising stars planets and galaxies...,Newspaper,4-1-2020,all
Story Time: Blind trust,“Three two one crack!” shouted the commentator and a thunderous cheer erupted from the crowd.,Newspaper,4-1-2020,all
The weekly weird,World’s oldest artwork uncovered,Newspaper,4-1-2020,all
Spotlight,Legends of the Hidden Temple reboot,Newspaper,4-1-2020,all
Cook-it-yourself: Oreo brownies,There are almost if not as many kinds of brownies as there are cakes.,Newspaper,4-1-2020,all
Story Time: Spooky garden,I am Emily and I study in the seventh grade.,Newspaper,4-1-2020,all
Story Time: Mishap on the beach,It was a lazy morning in July.,Newspaper,4-1-2020,all
Poet's Corner,Published in Dawn Young World January 4th 2020,Newspaper,4-1-2020,all
Mailbox,Friends are forever,Newspaper,4-1-2020,all
Programming myths busted,What do you imagine when you first hear the word ‘programmer’?,Newspaper,4-1-2020,all
Banishing dictatorship,It was an attempt by judges to rectify history by removing the judicial shame of legitimising past military rule.,Pakistan,4-1-2020,all
Prince William’s photo in Chitral goes viral,The social media site is brimming with the picture of the Duke gazing at the glacier which has developed fissures.,Pakistan,4-1-2020,all
Rivals’ clash leaves six dead in Wana,Sources say five of the dead men belonged to one family while the sixth hailed from the rival family.,Pakistan,4-1-2020,all
Lawmakers agree to slap checks on ‘luxury’ lifestyle of bureaucracy,Speaker seeks PA panel’s report on vehicles houses allotted to senior officers.,Pakistan,4-1-2020,all
ICCI to plant one million trees in 2020,ICCI President Mohammad Ahmed Waheed and Deputy Commissioner Islamabad Hamza Shafqaat sign the MoU in DC Office.,Pakistan,4-1-2020,all
