Story Heading,Story Excerpt,Section,Date,Source
Polio cases for 2019 still surfacing tally rises to 128,Two cases each were reported from Sindh and Balochistan and one from KP.,Pakistan,5-1-2020,dawn
Massive march in India to protest citizenship law,HYDERABAD: Over one hundred thousand protesters many carrying the Indian tricolour flag took part in a peaceful...,Pakistan,5-1-2020,dawn
Massive march in India to protest citizenship law,HYDERABAD: Over one hundred thousand protesters many carrying the Indian tricolour flag took part in a peaceful...,Pakistan,5-1-2020,dawn
NA panel to reconsider key bills tomorrow,Opposition govt agree on renewed timeline for legislation regarding services chiefs tenure.,Pakistan,5-1-2020,dawn
NA panel to reconsider key bills tomorrow,Opposition govt agree on renewed timeline for legislation regarding services chiefs tenure.,Pakistan,5-1-2020,dawn
Chaudhrys coax Fazl into rethinking stand on key bills,JUI-F chief says party has yet to make a decision on voting against the bills or abstaining from the process altogether.,Pakistan,6-1-2020,dawn
Chaudhrys coax Fazl into rethinking stand on key bills,JUI-F chief says party has yet to make a decision on voting against the bills or abstaining from the process altogether.,Pakistan,6-1-2020,dawn
Iraqi MPs call for foreign troops’ withdrawal,Trump threatens to hit 52 sites in Iran,Pakistan,6-1-2020,dawn
Iraqi MPs call for foreign troops’ withdrawal,Trump threatens to hit 52 sites in Iran,Pakistan,6-1-2020,dawn
17m children vulnerable to worm infection: survey,Out of 17 million children 4.6 million are in need of annual treatment in Karachi alone.,Pakistan,6-1-2020,dawn
17m children vulnerable to worm infection: survey,Out of 17 million children 4.6 million are in need of annual treatment in Karachi alone.,Pakistan,6-1-2020,dawn
PM says Nankana incident negates his vision,Imran points out Modi’s ideology backs minorities’ oppression and attacks on Muslims,Pakistan,6-1-2020,dawn
PM says Nankana incident negates his vision,Imran points out Modi’s ideology backs minorities’ oppression and attacks on Muslims,Pakistan,6-1-2020,dawn
Consumers to pay for power losses under fresh proposal,Govt set to recover additional cost of losses by imposing new surcharges aimed at financing power sector loans.,Pakistan,6-1-2020,dawn
Consumers to pay for power losses under fresh proposal,Govt set to recover additional cost of losses by imposing new surcharges aimed at financing power sector loans.,Pakistan,6-1-2020,dawn
Pakistan rules out use of its soil in Middle East conflict,FM reiterates Pakistan's willingness to play a role in maintaining regional peace during call with counterparts.,Pakistan,6-1-2020,dawn
Pakistan rules out use of its soil in Middle East conflict,FM reiterates Pakistan's willingness to play a role in maintaining regional peace during call with counterparts.,Pakistan,6-1-2020,dawn
PM wants massive drive against drugs child abuse,Launches mobile app to protect youth from the menace meets Virginia University students,Pakistan,7-1-2020,dawn
PM wants massive drive against drugs child abuse,Launches mobile app to protect youth from the menace meets Virginia University students,Pakistan,7-1-2020,dawn
Balochistan Senators up in arms over gas shortage,Senators Yousaf Badini Shamim Afridi Kauda Babar Behramand Tangi and Jehanzaib Jamaldini walk out of meeting.,Pakistan,7-1-2020,dawn
Balochistan Senators up in arms over gas shortage,Senators Yousaf Badini Shamim Afridi Kauda Babar Behramand Tangi and Jehanzaib Jamaldini walk out of meeting.,Pakistan,7-1-2020,dawn
Pakistan urges ME conflict parties to exercise restraint,• Foreign minister assures parliament country won’t become part of regional row • Says Mahathir not annoyed with,Pakistan,7-1-2020,dawn
Pakistan urges ME conflict parties to exercise restraint,• Foreign minister assures parliament country won’t become part of regional row • Says Mahathir not annoyed with,Pakistan,7-1-2020,dawn
NA to debate services chiefs tenure bills today,Defence committee approves the amendments for a second time within a week.,Pakistan,7-1-2020,dawn
NA to debate services chiefs tenure bills today,Defence committee approves the amendments for a second time within a week.,Pakistan,7-1-2020,dawn
NA passes tenure bills without a murmur,• Bills on services chiefs term land in Senate • PPP withdraws amendments • PM makes a rare appearance in National,Pakistan,8-1-2020,dawn
NA passes tenure bills without a murmur,• Bills on services chiefs term land in Senate • PPP withdraws amendments • PM makes a rare appearance in National,Pakistan,8-1-2020,dawn
Two killed 14 hurt in Quetta blast claimed by Hizbul Ahrar,QUETTA: At least two people were killed and 14 others including children and security personnel wounded in a...,Pakistan,8-1-2020,dawn
Two killed 14 hurt in Quetta blast claimed by Hizbul Ahrar,QUETTA: At least two people were killed and 14 others including children and security personnel wounded in a...,Pakistan,8-1-2020,dawn
Supreme Court judge questions NAB’s arrest-first policy,Wonders why anti-graft watchdog looks for evidence to complete a reference after sending the suspects to jail.,Pakistan,8-1-2020,dawn
Supreme Court judge questions NAB’s arrest-first policy,Wonders why anti-graft watchdog looks for evidence to complete a reference after sending the suspects to jail.,Pakistan,8-1-2020,dawn
Upright jurist Fakhruddin G. Ebrahim is no more,KARACHI: Retired Jus­tice Fakhruddin G. Ebra­him who served as chief election commissioner Sindh governor law...,Pakistan,8-1-2020,dawn
Upright jurist Fakhruddin G. Ebrahim is no more,KARACHI: Retired Jus­tice Fakhruddin G. Ebra­him who served as chief election commissioner Sindh governor law...,Pakistan,8-1-2020,dawn
PM approves Rs7bn Utility Stores relief package,Package includes lowering the prices of essential edible items such as flour cooking oil rice and pulses.,Pakistan,8-1-2020,dawn
PM approves Rs7bn Utility Stores relief package,Package includes lowering the prices of essential edible items such as flour cooking oil rice and pulses.,Pakistan,8-1-2020,dawn
PTI lawmakers slam non-provision of uplift funds,"""Development funds should be provided to district authorities directly"" says Fawad Chaudhry.",Pakistan,8-1-2020,dawn
PTI lawmakers slam non-provision of uplift funds,"""Development funds should be provided to district authorities directly"" says Fawad Chaudhry.",Pakistan,8-1-2020,dawn
Stampede kills 56 at Iranian commander’s funeral,Supreme National Security Council secretary says 13 ‘revenge scenarios’ being considered,Pakistan,8-1-2020,dawn
Stampede kills 56 at Iranian commander’s funeral,Supreme National Security Council secretary says 13 ‘revenge scenarios’ being considered,Pakistan,8-1-2020,dawn
Senate brings curtain down on tenure bills episode,Three key bills passed with a majority vote in 22-minute session • NP PkMAP JI members stage protest • JUI-F senators,Pakistan,9-1-2020,dawn
Senate brings curtain down on tenure bills episode,Three key bills passed with a majority vote in 22-minute session • NP PkMAP JI members stage protest • JUI-F senators,Pakistan,9-1-2020,dawn
Iran hurls missiles at US bases; Trump sees Tehran relenting,American military bases in Iraq come under attack,Pakistan,9-1-2020,dawn
Iran hurls missiles at US bases; Trump sees Tehran relenting,American military bases in Iraq come under attack,Pakistan,9-1-2020,dawn
BISP takes action against officers who got govt help meant for poor,According to official data the highest number of government officials receiving the BISP assistance was from Sindh.,Pakistan,9-1-2020,dawn
BISP takes action against officers who got govt help meant for poor,According to official data the highest number of government officials receiving the BISP assistance was from Sindh.,Pakistan,9-1-2020,dawn
Pakistan offers peacemaking role in ME conflict,PM asks foreign minister army chief to send out message to all actors in evolving crisis; US defence secretary calls,Pakistan,9-1-2020,dawn
Pakistan offers peacemaking role in ME conflict,PM asks foreign minister army chief to send out message to all actors in evolving crisis; US defence secretary calls,Pakistan,9-1-2020,dawn
Ukrainian plane was on fire tried to turn back: Iran,US officials say the jet was probably brought down accidentally by Tehran’s anti-aircraft missiles,Pakistan,10-1-2020,dawn
Ukrainian plane was on fire tried to turn back: Iran,US officials say the jet was probably brought down accidentally by Tehran’s anti-aircraft missiles,Pakistan,10-1-2020,dawn
SC judge takes up plea against former chief justice,Petitioners appeal to the court to determine which behaviour of a judge falls within the definition of misconduct.,Pakistan,10-1-2020,dawn
SC judge takes up plea against former chief justice,Petitioners appeal to the court to determine which behaviour of a judge falls within the definition of misconduct.,Pakistan,10-1-2020,dawn
EU spurns ‘guided tour’ of held Kashmir,Says envoys want to meet people freely of their own choosing,Pakistan,10-1-2020,dawn
EU spurns ‘guided tour’ of held Kashmir,Says envoys want to meet people freely of their own choosing,Pakistan,10-1-2020,dawn
Pakistan not to take part in anyone else’s war: PM,"""Pakistan has paid a high price in the past by becoming a part of the war on terror"" says Imran.",Pakistan,10-1-2020,dawn
Pakistan not to take part in anyone else’s war: PM,"""Pakistan has paid a high price in the past by becoming a part of the war on terror"" says Imran.",Pakistan,10-1-2020,dawn
12-year-old boy among six polio victims,ISLAMABAD: Six more polio cases two each from Sindh Khyber Pakhtun­khwa and Punjab have been confirmed bringing...,Pakistan,10-1-2020,dawn
12-year-old boy among six polio victims,ISLAMABAD: Six more polio cases two each from Sindh Khyber Pakhtun­khwa and Punjab have been confirmed bringing...,Pakistan,10-1-2020,dawn
CII terms several sections of NAB law un-Islamic,Minister criticises observation questions legality of the council,Pakistan,10-1-2020,dawn
CII terms several sections of NAB law un-Islamic,Minister criticises observation questions legality of the council,Pakistan,10-1-2020,dawn
Musharraf’s trial in absentia violation of constitution LHC told,Full bench summons summary about formation of special court that convicted former military ruler,Pakistan,11-1-2020,dawn
Musharraf’s trial in absentia violation of constitution LHC told,Full bench summons summary about formation of special court that convicted former military ruler,Pakistan,11-1-2020,dawn
Azakhel dry port to boost trade create jobs: PM,Railways minister says deal with NLC to include Peshawar-Jalalabad track in ML-1 will help end smuggling,Pakistan,11-1-2020,dawn
Azakhel dry port to boost trade create jobs: PM,Railways minister says deal with NLC to include Peshawar-Jalalabad track in ML-1 will help end smuggling,Pakistan,11-1-2020,dawn
Child protection bill passed on Zainab’s death anniversary,ISLAMABAD: In a better-late-than-never development the National Assembly finally approved the Zainab Alert ...,Pakistan,11-1-2020,dawn
Child protection bill passed on Zainab’s death anniversary,ISLAMABAD: In a better-late-than-never development the National Assembly finally approved the Zainab Alert ...,Pakistan,11-1-2020,dawn
DSP among 15 martyred in Quetta blast,IS claims responsibility for mosque suicide attack,Pakistan,11-1-2020,dawn
DSP among 15 martyred in Quetta blast,IS claims responsibility for mosque suicide attack,Pakistan,11-1-2020,dawn
Sultan Qaboos dies; successor vows to pursue peace,Imran says Pakistan has lost a close trusted friend,Pakistan,12-1-2020,dawn
Sultan Qaboos dies; successor vows to pursue peace,Imran says Pakistan has lost a close trusted friend,Pakistan,12-1-2020,dawn
ISPR dismisses Indian army chief’s remarks about AJK as routine rhetoric,Gen Naravane said his troops can occupy Azad Kashmir if parliament mandates the army to do so,Pakistan,12-1-2020,dawn
ISPR dismisses Indian army chief’s remarks about AJK as routine rhetoric,Gen Naravane said his troops can occupy Azad Kashmir if parliament mandates the army to do so,Pakistan,12-1-2020,dawn
Students traders among top complainants on citizen portal,PM Office says 91pc of complaints redressed.,Pakistan,12-1-2020,dawn
Students traders among top complainants on citizen portal,PM Office says 91pc of complaints redressed.,Pakistan,12-1-2020,dawn
Call for transparency after Iran’s plane shooting admission,The aerospace commander of Revolutionary Guards accepts responsibility says he informed govt of the error the day the,Pakistan,12-1-2020,dawn
Call for transparency after Iran’s plane shooting admission,The aerospace commander of Revolutionary Guards accepts responsibility says he informed govt of the error the day the,Pakistan,12-1-2020,dawn
Over 196000 slum dwellers among govt housing plan applicants,Over 0.748m (38pc) of the applicants are from labour class and 0.425m (21pc) are private sector employees.,Pakistan,12-1-2020,dawn
Over 196000 slum dwellers among govt housing plan applicants,Over 0.748m (38pc) of the applicants are from labour class and 0.425m (21pc) are private sector employees.,Pakistan,12-1-2020,dawn
PML-N leader hints at pressure over tenure bill,"Regarding the army's stake in politics Khurram Dastgir says: ""Whether we accept it or not this will remain a fact.""",Pakistan,12-1-2020,dawn
PML-N leader hints at pressure over tenure bill,"Regarding the army's stake in politics Khurram Dastgir says: ""Whether we accept it or not this will remain a fact.""",Pakistan,12-1-2020,dawn
Iran doesn’t want to heighten tension: Rouhani,Foreign Minister Shah Mehmood Qureshi urges immediate collective efforts for peace.,Pakistan,13-1-2020,dawn
Iran doesn’t want to heighten tension: Rouhani,Foreign Minister Shah Mehmood Qureshi urges immediate collective efforts for peace.,Pakistan,13-1-2020,dawn
MQM convener quits cabinet but party to remain PTI’s ally,Imran assures Siddiqui of looking into Muttahida’s legitimate concerns,Pakistan,13-1-2020,dawn
MQM convener quits cabinet but party to remain PTI’s ally,Imran assures Siddiqui of looking into Muttahida’s legitimate concerns,Pakistan,13-1-2020,dawn
Hard times about to be over PML-N tells its workers,"Both Nawaz and Shahbaz camps in PML-N are ""equally satisfied"" over the party’s unconditional support to the Army Act.",Pakistan,13-1-2020,dawn
Hard times about to be over PML-N tells its workers,"Both Nawaz and Shahbaz camps in PML-N are ""equally satisfied"" over the party’s unconditional support to the Army Act.",Pakistan,13-1-2020,dawn
14 die as snowfall rain wreak havoc in Balochistan,Met officials say heavy snowfall in Quetta has already broken the 20-year record.,Pakistan,13-1-2020,dawn
14 die as snowfall rain wreak havoc in Balochistan,Met officials say heavy snowfall in Quetta has already broken the 20-year record.,Pakistan,13-1-2020,dawn
US deplores detentions internet ban in occupied Kashmir,Alice Wells says Washington is closely following foreign diplomats’ visit to the region.,Pakistan,13-1-2020,dawn
US deplores detentions internet ban in occupied Kashmir,Alice Wells says Washington is closely following foreign diplomats’ visit to the region.,Pakistan,13-1-2020,dawn
Cafe photo adds to PTI suspicion over Nawaz’s health,The Punjab govt has sought Nawaz's latest health reports from his personal physician.,Pakistan,14-1-2020,dawn
Cafe photo adds to PTI suspicion over Nawaz’s health,The Punjab govt has sought Nawaz's latest health reports from his personal physician.,Pakistan,14-1-2020,dawn
MQM-P plays hard to get in talks with govt team,"The GDA maintains that the federal govt is not implementing the ""charter of demands"" given to the PM two months ago.",Pakistan,14-1-2020,dawn
MQM-P plays hard to get in talks with govt team,"The GDA maintains that the federal govt is not implementing the ""charter of demands"" given to the PM two months ago.",Pakistan,14-1-2020,dawn
Tehran Riyadh welcome Pakistan’s efforts for peace,Qureshi conveys Islamabad’s desire to help de-escalate Middle East tensions,Pakistan,14-1-2020,dawn
Tehran Riyadh welcome Pakistan’s efforts for peace,Qureshi conveys Islamabad’s desire to help de-escalate Middle East tensions,Pakistan,14-1-2020,dawn
LHC throws out death penalty for Musharraf,Declares trial by special court unconstitutional rules against retrospective effect given to an amendment in Article 6,Pakistan,14-1-2020,dawn
LHC throws out death penalty for Musharraf,Declares trial by special court unconstitutional rules against retrospective effect given to an amendment in Article 6,Pakistan,14-1-2020,dawn
New jolt for govt as PML-Q man skips meeting,Awan says MQM has left the cabinet but remains a govt ally; does not comment on PML-Q leader's absence in meeting.,Pakistan,15-1-2020,dawn
New jolt for govt as PML-Q man skips meeting,Awan says MQM has left the cabinet but remains a govt ally; does not comment on PML-Q leader's absence in meeting.,Pakistan,15-1-2020,dawn
Punjab govt rejects Nawaz’s medical reports,Seeks fresh records within 48 hours; Dr Adnan says new statement submitted on Tuesday,Pakistan,15-1-2020,dawn
Punjab govt rejects Nawaz’s medical reports,Seeks fresh records within 48 hours; Dr Adnan says new statement submitted on Tuesday,Pakistan,15-1-2020,dawn
NA sees face-off between Sana Afridi,ISLAMABAD: Minister of State for Narcotics Control Shehryar Afridi on Tuesday pledged on oath in the National...,Pakistan,15-1-2020,dawn
NA sees face-off between Sana Afridi,ISLAMABAD: Minister of State for Narcotics Control Shehryar Afridi on Tuesday pledged on oath in the National...,Pakistan,15-1-2020,dawn
Top brass terms Indian army chief’s threats irresponsible,ISLAMABAD: Pakistan Army’s top brass rejected the Indian army chief’s recent statements on Pakistan as...,Pakistan,15-1-2020,dawn
Top brass terms Indian army chief’s threats irresponsible,ISLAMABAD: Pakistan Army’s top brass rejected the Indian army chief’s recent statements on Pakistan as...,Pakistan,15-1-2020,dawn
93 killed as harsh weather torments country,Avalanches hit AJK; PM COAS issue orders for immediate rescue relief work.,Pakistan,15-1-2020,dawn
93 killed as harsh weather torments country,Avalanches hit AJK; PM COAS issue orders for immediate rescue relief work.,Pakistan,15-1-2020,dawn
Tycoon Malik Riaz booked in Rs100bn land scam,NAB alleges Bahria Town built Pakistan’s tallest building on land belonging to Karachi’s Bagh Ibne Qasim.,Pakistan,16-1-2020,dawn
Tycoon Malik Riaz booked in Rs100bn land scam,NAB alleges Bahria Town built Pakistan’s tallest building on land belonging to Karachi’s Bagh Ibne Qasim.,Pakistan,16-1-2020,dawn
UN Security Council reviews situation in occupied Kashmir,“The issue of India and Pakistan is always on the agenda of the Security Council” says Chinese Ambassador Zhang Jun.,Pakistan,16-1-2020,dawn
UN Security Council reviews situation in occupied Kashmir,“The issue of India and Pakistan is always on the agenda of the Security Council” says Chinese Ambassador Zhang Jun.,Pakistan,16-1-2020,dawn
Avalanche kills five soldiers as cold snap toll rises to 109,PM visits AJK capital; hundreds of buildings in Gilgit-Baltistan Neelum Valley destroyed.,Pakistan,16-1-2020,dawn
Avalanche kills five soldiers as cold snap toll rises to 109,PM visits AJK capital; hundreds of buildings in Gilgit-Baltistan Neelum Valley destroyed.,Pakistan,16-1-2020,dawn
Harried PTI moves to appease disgruntled allies,Major partners in the ruling coalition have grievances about the helplessness of their ministers in decision making.,Pakistan,16-1-2020,dawn
Harried PTI moves to appease disgruntled allies,Major partners in the ruling coalition have grievances about the helplessness of their ministers in decision making.,Pakistan,16-1-2020,dawn
SC moved to overturn Musharraf’s conviction,Former military ruler seeks right to be heard by the apex court.,Pakistan,17-1-2020,dawn
SC moved to overturn Musharraf’s conviction,Former military ruler seeks right to be heard by the apex court.,Pakistan,17-1-2020,dawn
Chiefs of MI ISPR changed in shuffle,Maj Gen Azhar Waqas has been appointed DG MI and Maj Gen Babar Iftikhar appointed as DG ISPR.,Pakistan,17-1-2020,dawn
Chiefs of MI ISPR changed in shuffle,Maj Gen Azhar Waqas has been appointed DG MI and Maj Gen Babar Iftikhar appointed as DG ISPR.,Pakistan,17-1-2020,dawn
PM reproaches Vawda stops him from appearing on TV,Pemra places a ban on host Kashif Abbasi but withdraws the order after an explanation by the channel,Pakistan,17-1-2020,dawn
PM reproaches Vawda stops him from appearing on TV,Pemra places a ban on host Kashif Abbasi but withdraws the order after an explanation by the channel,Pakistan,17-1-2020,dawn
Delhi’s bellicosity to endanger peace warns govt,PM Imran chairs meeting on the situation in occupied Kashmir a day after the UNSC holds closed-door discussions.,Pakistan,17-1-2020,dawn
Delhi’s bellicosity to endanger peace warns govt,PM Imran chairs meeting on the situation in occupied Kashmir a day after the UNSC holds closed-door discussions.,Pakistan,17-1-2020,dawn
Sharifs’ rehab journey discomforting for opponents,This marks the start of a new phase in the life of Mian Sahib or his party or both of them.,Pakistan,18-1-2020,dawn
Sharifs’ rehab journey discomforting for opponents,This marks the start of a new phase in the life of Mian Sahib or his party or both of them.,Pakistan,18-1-2020,dawn
Foreign investment in treasury bills reaches record $2.2bn,The latest T-bills auction held on Jan 15 yielded $537.9 million — the highest amount for a single auction.,Pakistan,18-1-2020,dawn
Foreign investment in treasury bills reaches record $2.2bn,The latest T-bills auction held on Jan 15 yielded $537.9 million — the highest amount for a single auction.,Pakistan,18-1-2020,dawn
PM suggests three names to Shahbaz for CEC slot,ISLAMABAD: Deadlock over the appointment of the Chief Election Commis­sioner (CEC) and two members of the Election...,Pakistan,18-1-2020,dawn
PM suggests three names to Shahbaz for CEC slot,ISLAMABAD: Deadlock over the appointment of the Chief Election Commis­sioner (CEC) and two members of the Election...,Pakistan,18-1-2020,dawn
Qureshi urges US not to escalate tensions with Iran,FM Pompeo discuss Pakistan’s efforts for peace in Middle East,Pakistan,18-1-2020,dawn
Qureshi urges US not to escalate tensions with Iran,FM Pompeo discuss Pakistan’s efforts for peace in Middle East,Pakistan,18-1-2020,dawn
Govt’s placatory efforts cut no ice with estranged Muttahida,Khattak-led team returns empty-handed after holding talks with MQM-P leadership,Pakistan,19-1-2020,dawn
Govt’s placatory efforts cut no ice with estranged Muttahida,Khattak-led team returns empty-handed after holding talks with MQM-P leadership,Pakistan,19-1-2020,dawn
5000 prisoners across country suffer from fatal diseases IHC told,The overall occupancy in jails of four provinces is 73661 against the overall authorised capacity of 56634 inmates.,Pakistan,19-1-2020,dawn
5000 prisoners across country suffer from fatal diseases IHC told,The overall occupancy in jails of four provinces is 73661 against the overall authorised capacity of 56634 inmates.,Pakistan,19-1-2020,dawn
Wheat flour crisis deepens amid blame game,National food security secretary says Sindh was asked to purchase 14m tonnes of wheat but it paid no heed.,Pakistan,19-1-2020,dawn
Wheat flour crisis deepens amid blame game,National food security secretary says Sindh was asked to purchase 14m tonnes of wheat but it paid no heed.,Pakistan,19-1-2020,dawn
Pakistan wants US to get it off FATF grey list,Meeting of global terror financing monitor to be held in Beijing next month.,Pakistan,21-2-2020,dawn
Pakistan wants US to get it off FATF grey list,Meeting of global terror financing monitor to be held in Beijing next month.,Pakistan,21-2-2020,dawn
What made PML-Q give a one-week ultimatum to govt,Party wants full powers for Buzdar and its ministers.,Pakistan,20-1-2020,dawn
What made PML-Q give a one-week ultimatum to govt,Party wants full powers for Buzdar and its ministers.,Pakistan,20-1-2020,dawn
Govt sees end to wheat flour crisis soon amid strike threat in KP,The price of the staple food item has registered an increase of Rs25 per kilogram in recent days.,Pakistan,20-1-2020,dawn
Govt sees end to wheat flour crisis soon amid strike threat in KP,The price of the staple food item has registered an increase of Rs25 per kilogram in recent days.,Pakistan,20-1-2020,dawn
Opposition govt agree to drag ongoing Senate session,The parliamentary year of the Senate began on March 12 last year.,Pakistan,20-1-2020,dawn
Opposition govt agree to drag ongoing Senate session,The parliamentary year of the Senate began on March 12 last year.,Pakistan,20-1-2020,dawn
Imran asks UN to send military observers to LoC,Warns world community of war-like situation if India continues ceasefire violations,Pakistan,20-1-2020,dawn
Imran asks UN to send military observers to LoC,Warns world community of war-like situation if India continues ceasefire violations,Pakistan,20-1-2020,dawn
Decision on key ECP appointments expected today,Shahbaz sends amended list of nominees for chief election commissioner to PM.,Pakistan,21-1-2020,dawn
Decision on key ECP appointments expected today,Shahbaz sends amended list of nominees for chief election commissioner to PM.,Pakistan,21-1-2020,dawn
US hails progress made to meet FATF requirements,On a four-day visit to Pakistan Wells holds talks with interior minister.,Pakistan,21-2-2020,dawn
US hails progress made to meet FATF requirements,On a four-day visit to Pakistan Wells holds talks with interior minister.,Pakistan,21-2-2020,dawn
